,name,ga_first_name,ga_gender,ga_accuracy,ga_samples
122,aurora,Aurora,female,98,8268
123,avram,Avram,male,84,239
124,axente,Axente,male,73,11
125,ayla,Ayla,female,96,4798
126,ayman,Ayman,male,98,12857
127,balazs,Balazs,male,97,685
128,balint,Balint,male,86,272
129,banica,Banica,male,67,43
130,barbara,Barbara,female,98,58381
131,barna,Barna,male,92,506
132,bazil,Bazil,male,98,181
133,beata,Beata,female,98,18034
134,beatrice,Beatrice,female,98,16099
135,beatrix,Beatrix,female,99,1759
136,bela,Bela,female,65,2536
137,bened,Bened,male,100,4
138,beniamin,Beniamin,male,93,275
139,benjamin,Benjamin,male,99,50718
140,bernadett,Bernadett,female,98,1371
141,bernadette,Bernadette,female,94,8163
142,bertalan,Bertalan,male,95,221
143,berti,Berti,male,88,737
144,betina,Betina,female,99,783
145,bettina,Bettina,female,98,5079
146,betty,Betty,female,98,16619
147,bianca,Bianca,female,98,21575
148,bianco,Bianco,male,87,289
149,bianka,Bianka,female,98,1760
150,biborka,Biborka,female,88,8
151,blanka,Blanka,female,99,6247
152,bogdan,Bogdan,male,99,10718
153,bogdana,Bogdana,female,97,163
154,boglarka,Boglarka,female,98,64
155,borbala,Borbala,female,100,38
156,boroka,Boroka,female,100,15
157,botond,Botond,male,99,254
158,brigitta,Brigitta,female,99,1923
159,brindusa,Brindusa,female,98,54
160,calin,Calin,male,94,1386
161,camelia,Camelia,female,98,2498
162,cameluta,Cameluta,female,75,4
163,candina,Candina,female,100,4
164,carina,Carina,female,98,12470
165,carla,Carla,female,98,48614
166,carmen,Carmen,female,98,54029
167,carmina,Carmina,female,98,825
168,carol,Carol,female,97,29790
169,carola,Carola,female,98,4317
170,carolina,Carolina,female,98,33330
171,casian,Casian,male,96,80
172,casiana,Casiana,female,100,25
173,catalin,Catalin,male,99,4368
174,catalina,Catalina,female,96,5828
175,cateluta,Cateluta,female,100,3
176,caterina,Caterina,female,99,6842
177,catrinel,Catrinel,female,100,25
178,cecilia,Cecilia,female,98,18089
179,celia,Celia,female,98,11351
180,cerasela,Cerasela,female,99,119
181,cezar,Cezar,male,99,1417
182,cezara,Cezara,female,98,62
183,chena,Chena,female,62,53
184,christa,Christa,female,98,3675
185,christina,Christina,female,94,36391
186,ciprian,Ciprian,male,99,2342
187,cipriana,Cipriana,female,98,62
188,clara,Clara,female,97,22929
189,claudia,Claudia,female,98,72003
190,claudita,Claudita,female,99,111
191,claudiu,Claudiu,male,99,2586
192,codrin,Codrin,male,97,103
193,codrina,Codrina,female,100,17
194,codrut,Codrut,male,97,113
195,codruta,Codruta,female,100,188
196,constanta,Constanta,female,96,184
197,constantin,Constantin,male,96,3723
198,constantina,Constantina,female,96,190
199,consuela,Consuela,female,97,146
200,cora,Cora,female,97,2178
201,corin,Corin,female,59,295
202,corina,Corina,female,99,3925
203,cornel,Cornel,male,97,1534
204,cornelia,Cornelia,female,97,3570
205,corneliu,Corneliu,male,99,325
206,cosmin,Cosmin,male,99,3000
207,cosmina,Cosmina,female,97,309
208,costache,Costache,male,72,112
209,costan,Costan,male,81,43
210,costel,Costel,male,98,1407
211,costica,Costica,male,100,166
212,costin,Costin,male,97,580
213,costina,Costina,female,91,43
214,costinel,Costinel,male,99,78
215,costinela,Costinela,female,100,10
216,cozmin,Cozmin,male,98,51
217,crenguta,Crenguta,female,100,34
218,crina,Crina,female,96,521
219,crinisor,Crinisor,male,75,4
220,crinuta,Crinuta,female,100,6
221,cristi,Cristi,male,77,4442
222,cristian,Cristian,male,99,46450
223,cristiana,Cristiana,female,98,4190
224,cristina,Cristina,female,98,70974
225,cristinel,Cristinel,male,98,203
226,cristinela,Cristinela,female,89,9
227,cristofer,Cristofer,male,99,800
228,crizantina,,,,
229,csaba,Csaba,male,99,7901
230,csilla,Csilla,female,99,3139
231,csongor,Csongor,male,99,222
232,dacian,Dacian,male,99,110
233,daciana,Daciana,female,98,54
234,dagmar,Dagmar,female,98,8222
235,daiana,Daiana,female,99,3115
236,dalia,Dalia,female,97,4277
237,dalis,Dalis,female,61,71
238,dalma,Dalma,female,94,543
239,damaris,Damaris,female,94,2418
240,damian,Damian,male,99,23799
241,dan,Dan,male,97,61524
242,dana,Dana,female,91,29276
243,daniel,Daniel,male,99,257742
244,daniela,Daniela,female,97,67491
245,daniil,Daniil,male,100,667
246,danusia,Danusia,female,98,392
247,danut,Danut,male,98,629
248,danuta,Danuta,female,99,3908
249,daria,Daria,female,97,9536
250,darian,Darian,male,75,614
251,darie,Darie,male,57,88
252,darine,Darine,female,96,456
253,dariu,Dariu,male,94,18
254,darius,Darius,male,99,4002
255,david,David,male,99,381770
256,dayana,Dayana,female,98,4096
257,debora,Debora,female,98,12973
258,deian,Deian,male,96,50
259,delenke,,,,
260,delia,Delia,female,98,3957
261,delinke,Delinke,female,100,3
262,demetriu,Demetriu,male,75,4
263,denis,Denis,male,97,42503
264,denisa,Denisa,female,99,8088
265,denise,Denise,female,98,29702
266,diana,Diana,female,98,59982
267,diandra,Diandra,female,93,453
268,didina,Didina,female,76,71
269,diego,Diego,male,99,67382
270,dimitrie,Dimitrie,male,97,68
271,dina,Dina,female,96,13925
272,dinu,Dinu,male,85,870
273,doina,Doina,female,99,1091
274,doinita,Doinita,female,99,132
275,domnica,Domnica,female,97,35
276,domnita,Domnita,female,94,17
277,dora,Dora,female,96,8082
278,dorel,Dorel,male,97,552
279,doria,Doria,female,89,375
280,dorian,Dorian,male,94,5000
281,dorin,Dorin,male,92,1331
282,dorina,Dorina,female,98,1661
283,dorinel,Dorinel,male,97,92
284,dorisz,Dorisz,female,100,18
285,dorottya,Dorottya,female,100,388
286,doru,Doru,male,98,1040
287,dorz,Dorz,male,60,5
288,dragan,Dragan,male,98,7224
289,dragomir,Dragomir,male,87,408
290,dragos,Dragos,male,99,1877
291,dragoslava,Dragoslava,female,65,26
292,dumitra,Dumitra,female,91,32
293,dumitrel,Dumitrel,male,100,17
294,dumitrita,Dumitrita,female,94,53
295,dumitru,Dumitru,male,93,1420
296,dylara,Dylara,female,100,5
297,ecaterina,Ecaterina,female,98,453
298,ede,Ede,male,79,556
299,edgard,Edgard,male,99,1433
300,edina,Edina,female,98,2854
301,edit,Edit,female,98,3917
302,eduard,Eduard,male,99,6833
303,elemer,Elemer,male,100,50
304,elena,Elena,female,98,74807
305,eleonora,Eleonora,female,99,10967
306,elian,Elian,male,77,667
307,eliana,Eliana,female,98,7937
308,elias,Elias,male,99,13804
309,elin,Elin,female,96,3060
310,eliodor,Eliodor,male,100,8
311,elisa,Elisa,female,98,32786
312,elisabeta,Elisabeta,female,98,330
313,elisei,Elisei,male,83,29
314,eliza,Eliza,female,98,6013
315,elmira,Elmira,female,98,1019
316,elod,Elod,male,53,68
317,elvira,Elvira,female,98,6885
318,elvis,Elvis,male,97,10626
319,ely,Ely,female,78,4203
320,elyda,Elyda,female,100,30
321,ema,Ema,female,80,4366
322,emanuel,Emanuel,male,99,10240
323,emanuela,Emanuela,female,98,8115
324,emanuiela,Emanuiela,female,75,4
325,emese,Emese,female,99,1358
326,emil,Emil,male,97,11768
327,emilia,Emilia,female,98,12241
328,emilian,Emilian,male,95,468
329,emiliana,Emiliana,female,99,610
330,emoke,Emoke,female,98,95
331,emona,Emona,female,89,19
332,enache,Enache,male,67,190
333,endre,Endre,male,99,1051
334,engin,Engin,male,97,20094
335,eniko,Eniko,female,99,472
336,eonicia,,,,
337,erdal,Erdal,male,97,17027
338,ergut,Ergut,male,75,4
339,erica,Erica,female,98,19226
340,erik,Erik,male,96,31753
341,erika,Erika,female,98,39357
342,ervin,Ervin,male,97,2554
343,erzsebet,Erzsebet,female,99,521
344,estera,Estera,female,97,609
345,eszter,Eszter,female,99,3079
346,etelka,Etelka,female,99,427
347,eu,Eu,male,70,1201
348,eudochia,Eudochia,female,100,7
349,eugen,Eugen,male,99,3585
350,eugenia,Eugenia,female,97,4878
351,eula,Eula,female,94,129
352,eusebiu,Eusebiu,male,100,83
353,eva,Eva,female,98,79421
354,evelin,Evelin,female,97,3076
355,evelina,Evelina,female,98,2102
356,eveline,Eveline,female,98,2327
357,evelyn,Evelyn,female,98,13547
358,evelyne,Evelyne,female,98,9151
359,evodia,Evodia,female,100,36
360,fabian,Fabian,male,99,17083
361,fanel,Fanel,male,96,117
362,fatih,Fatih,male,97,63027
363,felicia,Felicia,female,98,6417
364,felician,Felician,male,99,74
365,felix,Felix,male,98,24864
366,ferenc,Ferenc,male,99,7090
367,ferencz,Ferencz,male,84,134
368,filip,Filip,male,98,15100
369,fineas,Fineas,male,100,5
370,firuta,Firuta,female,82,11
371,fivi,Fivi,female,93,27
372,flavia,Flavia,female,98,8604
373,flaviana,Flaviana,female,99,414
374,flaviu,Flaviu,male,100,137
375,flavius,Flavius,male,99,455
376,floarea,Floarea,female,88,67
377,florea,Florea,male,72,278
378,florena,Florena,female,92,13
379,florentin,Florentin,male,98,880
380,florentina,Florentina,female,98,1352
381,flori,Flori,male,55,1455
382,florian,Florian,male,99,31950
383,floriana,Floriana,female,97,1391
384,florica,Florica,female,93,302
385,floridana,Floridana,unknown,50,2
386,florin,Florin,male,98,7817
387,florina,Florina,female,95,969
388,florinel,Florinel,male,96,144
389,florinela,Florinela,female,100,27
390,floris,Floris,male,93,826
391,florita,Florita,female,98,102
392,fraguta,,,,
393,francesca,Francesca,female,98,47990
394,francisc,Francisc,male,97,154
395,franciska,Franciska,female,98,328
396,gabi,Gabi,female,68,11084
397,gabor,Gabor,male,98,2242
398,gabriel,Gabriel,male,96,60772
399,gabriela,Gabriela,female,98,35737
