,name,ga_first_name,ga_gender,ga_accuracy,ga_samples
499,ionel,Ionel,male,99,1377
500,ionela,Ionela,female,98,1257
501,ionelia,Ionelia,female,97,58
502,ionica,Ionica,male,59,281
503,ionita,Ionita,male,58,226
504,ionut,Ionut,male,99,5683
505,iosefina,Iosefina,female,100,8
506,iosif,Iosif,male,96,537
507,iozef,Iozef,male,100,5
508,irene,Irene,female,98,30206
509,irimie,Irimie,female,80,5
510,irina,Irina,female,98,21136
511,irinel,Irinel,male,95,203
512,iringo,Iringo,female,100,7
513,irma,Irma,female,98,6475
514,isabela,Isabela,female,98,3714
515,isabella,Isabella,female,98,11891
516,isabelle,Isabelle,female,98,44533
517,isaura,Isaura,female,98,925
518,isidora,Isidora,female,93,495
519,istvan,Istvan,male,99,2481
520,iulia,Iulia,female,98,1773
521,iulian,Iulian,male,98,2676
522,iuliana,Iuliana,female,98,1003
523,iuliu,Iuliu,male,100,90
524,iura,Iura,male,93,123
525,iustin,Iustin,male,97,95
526,iustina,Iustina,female,97,60
527,iuxel,,,,
528,ivona,Ivona,female,98,1667
529,izabela,Izabela,female,98,7770
530,izabella,Izabella,female,99,2027
531,izolda,Izolda,female,97,105
532,jacint,Jacint,male,100,69
533,jacinta,Jacinta,female,98,1261
534,jahel,Jahel,female,60,30
535,janet,Janet,female,98,16535
536,janina,Janina,female,98,4612
537,janos,Janos,male,99,1562
538,jasmina,Jasmina,female,97,2730
539,jeno,Jeno,male,85,241
540,jiva,Jiva,male,73,60
541,johanna,Johanna,female,98,15895
542,jozsef,Jozsef,male,99,1882
543,judit,Judit,female,99,8242
544,judita,Judita,female,99,517
545,judith,Judith,female,98,14121
546,julia,Julia,female,97,57688
547,junior,Junior,male,98,17796
548,kalman,Kalman,male,96,187
549,kamil,Kamil,male,98,35090
550,kamilla,Kamilla,female,98,1560
551,karina,Karina,female,98,22685
552,karla,Karla,female,98,14892
553,karles,Karles,male,96,57
554,karmen,Karmen,female,96,1796
555,karola,Karola,female,98,1299
556,karoly,Karoly,male,94,356
557,kata,Kata,female,91,4456
558,katalin,Katalin,female,98,6509
559,katalina,Katalina,female,97,439
560,katinka,Katinka,female,97,450
561,kinga,Kinga,female,97,8749
562,kitty,Kitty,female,96,5567
563,klara,Klara,female,98,4211
564,klaudia,Klaudia,female,98,9528
565,kristian,Kristian,male,96,6428
566,kristof,Kristof,male,98,2213
567,kriszta,Kriszta,female,99,1099
568,krisztian,Krisztian,male,100,624
569,krisztina,Krisztina,female,99,4473
570,lacramioara,Lacramioara,female,98,246
571,lajos,Lajos,male,98,3902
572,larisa,Larisa,female,99,3934
573,laszlo,Laszlo,male,98,2344
574,laura,Laura,female,98,163073
575,laurean,Laurean,male,75,20
576,laurentiu,Laurentiu,male,98,1676
577,lavinia,Lavinia,female,98,2339
578,laviniu,Laviniu,male,100,12
579,lazar,Lazar,male,93,1357
580,lehel,Lehel,male,98,122
581,leila,Leila,female,98,17610
582,lelia,Lelia,female,95,327
583,lena,Lena,female,98,20608
584,lenke,Lenke,female,100,129
585,lenuta,Lenuta,female,100,276
586,leonard,Leonard,male,98,7077
587,leontin,Leontin,male,92,53
588,leontina,Leontina,female,94,157
589,letitia,Letitia,female,98,662
590,levente,Levente,male,99,1188
591,lia,Lia,female,97,9145
592,liana,Liana,female,98,3388
593,liber,Liber,male,62,216
594,lidia,Lidia,female,98,15601
595,liedia,Liedia,female,75,4
596,ligia,Ligia,female,98,2244
597,liliana,Liliana,female,98,18484
598,lilla,Lilla,female,97,1814
599,lina,Lina,female,97,27248
600,linca,Linca,female,56,16
601,linda,Linda,female,97,68888
602,lioara,Lioara,female,100,9
603,lisa,Lisa,female,98,75562
604,livia,Livia,female,98,4383
605,liviu,Liviu,male,99,2234
606,lizuca,Lizuca,female,100,6
607,lorand,Lorand,male,98,189
608,lorant,Lorant,male,99,150
609,loredana,Loredana,female,98,6405
610,lorena,Lorena,female,98,26352
611,lorenzzo,Lorenzzo,male,93,27
612,loreta,Loreta,female,99,797
613,loriana,Loriana,female,98,231
614,lorin,Lorin,female,52,484
615,luana,Luana,female,98,15739
616,lucia,Lucia,female,98,44426
617,lucian,Lucian,male,98,3081
618,luciana,Luciana,female,98,14723
619,lucica,Lucica,female,97,172
620,lucretia,Lucretia,female,98,294
621,ludovic,Ludovic,male,98,20045
622,ludovica,Ludovica,female,98,2198
623,luigi,Luigi,male,99,39705
624,luisa,Luisa,female,98,19957
625,luiza,Luiza,female,98,4040
626,luki,Luki,male,92,1013
627,luminita,Luminita,female,99,914
628,luxandra,,,,
629,madalin,Madalin,male,98,656
630,madalina,Madalina,female,97,1674
631,madian,Madian,male,80,64
632,maftei,Maftei,male,71,35
633,magda,Magda,female,98,26132
634,magdalena,Magdalena,female,98,29222
635,magdolna,Magdolna,female,99,1070
636,malvina,Malvina,female,97,867
637,malvinia,Malvinia,female,75,4
638,manuel,Manuel,male,99,96874
639,manuela,Manuela,female,98,25705
640,mara,Mara,female,92,14604
641,marc,Marc,male,99,77461
642,marcel,Marcel,male,98,38223
643,marcela,Marcela,female,98,22645
644,margareta,Margareta,female,97,1068
645,margit,Margit,female,99,2523
646,maria,Maria,female,97,245074
647,mariam,Mariam,female,98,12882
648,marian,Marian,male,62,19034
649,mariana,Mariana,female,98,27420
650,maricel,Maricel,female,92,1369
651,maricela,Maricela,female,99,1269
652,maricica,Maricica,female,98,114
653,marie,Marie,female,97,110430
654,marija,Marija,female,97,5981
655,marika,Marika,female,98,12042
656,marilena,Marilena,female,98,3225
657,marin,Marin,male,84,2861
658,marina,Marina,female,98,57740
659,marinel,Marinel,male,63,238
660,marinela,Marinela,female,98,974
661,mario,Mario,male,99,112267
662,marioara,Marioara,female,96,119
663,mariuca,Mariuca,female,98,43
664,marius,Marius,male,99,15477
665,mariuta,Mariuta,female,85,20
666,mark,Mark,male,99,42667
667,marlena,Marlena,female,98,4381
668,marta,Marta,female,98,84333
669,martin,Martin,male,98,139211
670,mary,Mary,female,98,76726
671,matei,Matei,male,83,520
672,matild,Matild,female,92,84
673,matyas,Matyas,male,97,190
674,maximilian,Maximilian,male,99,2947
675,mazin,Mazin,male,99,1242
676,medina,Medina,female,84,884
677,melania,Melania,female,98,3637
678,melek,Melek,female,95,12935
679,melinda,Melinda,female,98,8516
680,melisa,Melisa,female,97,7296
681,melitta,Melitta,female,95,183
682,meloria,,,,
683,memnona,,,,
684,michael,Michael,male,99,211741
685,mihaela,Mihaela,female,98,6040
686,mihai,Mihai,male,98,7832
687,mihail,Mihail,male,99,2197
688,mihaita,Mihaita,male,94,201
689,mihnea,Mihnea,male,97,170
690,miklos,Miklos,male,97,542
691,milan,Milan,male,98,31710
692,mina,Mina,female,85,14486
693,minerva,Minerva,female,96,1360
694,minodora,Minodora,female,99,72
695,mioara,Mioara,female,99,408
696,mirabela,Mirabela,female,97,233
697,mircea,Mircea,male,98,2257
698,mirel,Mirel,male,87,535
699,mirela,Mirela,female,98,3606
700,miriam,Miriam,female,98,26103
701,miriana,Miriana,female,99,1281
702,miron,Miron,male,92,454
703,miruna,Miruna,female,96,351
704,mitica,Mitica,male,78,211
705,monalisa,Monalisa,female,97,1350
706,monica,Monica,female,98,56741
707,monika,Monika,female,98,73806
708,mozes,Mozes,male,97,150
709,mugurel,Mugurel,male,99,117
710,nadia,Nadia,female,98,44698
711,naim,Naim,male,96,5122
712,nandor,Nandor,male,99,114
713,naomi,Naomi,female,98,9890
714,narcis,Narcis,male,92,559
715,narcisa,Narcisa,female,99,551
716,narcisz,Narcisz,female,100,4
717,nastasia,Nastasia,female,97,291
718,natalia,Natalia,female,98,51221
719,natanael,Natanael,male,99,1198
720,neculai,Neculai,male,92,109
721,nelica,Nelica,female,100,13
722,nelida,Nelida,female,98,467
723,nelu,Nelu,male,98,989
724,nelutu,Nelutu,male,99,224
725,neri,Neri,female,50,633
726,nicola,Nicola,male,80,36981
727,nicolae,Nicolae,male,96,1943
728,nicolai,Nicolai,male,99,1109
729,nicole,Nicole,female,98,65299
730,nicoleta,Nicoleta,female,98,2441
731,nicu,Nicu,male,99,1818
732,niculina,Niculina,female,98,103
733,niculita,Niculita,female,57,7
734,nicusor,Nicusor,male,98,327
735,nikolet,Nikolet,female,100,20
736,nikoleta,Nikoleta,female,98,930
737,nikolett,Nikolett,female,99,1512
738,nina,Nina,female,98,42386
739,nineta,Nineta,female,100,55
740,nistor,Nistor,male,66,145
741,nixilia,,,,
742,noemi,Noemi,female,98,10748
743,noemia,Noemia,female,97,474
744,nora,Nora,female,97,15230
745,norbert,Norbert,male,99,12597
746,nuta,Nuta,female,82,113
747,oana,Oana,female,98,2650
748,octav,Octav,male,99,144
749,octavia,Octavia,female,94,660
750,octavian,Octavian,male,99,905
751,odon,Odon,male,96,190
752,ofelia,Ofelia,female,98,949
753,olga,Olga,female,98,42388
754,olguta,Olguta,female,97,38
755,olimpia,Olimpia,female,97,1085
756,olimpiada,Olimpiada,female,64,11
757,olimpiu,Olimpiu,male,100,55
758,olivia,Olivia,female,97,18705
759,olivian,Olivian,male,87,31
760,oliviu,Oliviu,male,97,30
761,oltita,Oltita,female,100,7
762,onda,Onda,male,60,111
763,ondina,Ondina,female,96,199
764,onisim,Onisim,male,100,11
765,oriana,Oriana,female,98,1626
766,orlando,Orlando,male,99,9896
767,orsolya,Orsolya,female,99,1080
768,otilia,Otilia,female,98,779
769,otto,Otto,male,97,4276
770,ovidia,Ovidia,female,96,26
771,ovidiu,Ovidiu,male,100,2368
772,pal,Pal,male,82,914
773,palaguta,,,,
774,palma,Palma,female,72,545
775,pamela,Pamela,female,98,26501
776,panorica,,,,
777,parascheva,Parascheva,female,75,4
778,paraschiva,Paraschiva,female,97,36
779,partene,Partene,male,75,4
780,partenie,Partenie,male,67,6
781,patricia,Patricia,female,98,88761
782,patrik,Patrik,male,99,13539
783,paul,Paul,male,99,140849
784,paula,Paula,female,98,51503
785,paulina,Paulina,female,96,24701
786,pavel,Pavel,male,98,48181
787,persida,Persida,female,75,57
788,peter,Peter,male,99,146529
789,petra,Petra,female,98,52588
790,petre,Petre,male,93,951
791,petrea,Petrea,male,66,86
792,petria,Petria,female,92,26
793,petrian,Petrian,male,100,4
794,petrica,Petrica,male,94,437
795,petrina,Petrina,female,96,223
796,petrisor,Petrisor,male,94,161
797,petronel,Petronel,male,98,46
798,petronela,Petronela,female,99,595
799,petru,Petru,male,98,1001
800,petrus,Petrus,male,97,1111
801,petrut,Petrut,male,99,89
802,petruta,Petruta,female,97,135
803,piroska,Piroska,female,98,1302
804,pompilia,Pompilia,female,100,26
805,pompiliu,Pompiliu,male,96,27
806,predrag,Predrag,male,100,1833
807,pricop,Pricop,male,67,51
808,radian,Radian,male,94,87
809,radu,Radu,male,96,3981
810,raducu,Raducu,male,92,100
811,rafael,Rafael,male,99,52197
812,rafaela,Rafaela,female,98,6621
813,rahela,Rahela,female,97,77
814,rainer,Rainer,male,99,5435
815,raisa,Raisa,female,97,1463
816,raluca,Raluca,female,99,1897
817,rambo,Rambo,male,97,1501
818,ramona,Ramona,female,98,9990
819,raoul,Raoul,male,97,4097
820,raphaela,Raphaela,female,95,781
821,rares,Rares,male,99,424
822,raul,Raul,male,99,38362
823,raymond,Raymond,male,99,20118
824,razvan,Razvan,male,99,2589
825,rebeca,Rebeca,female,98,8360
826,rebeka,Rebeka,female,98,1337
827,reinhard,Reinhard,male,99,1973
828,reka,Reka,female,85,477
829,remus,Remus,male,99,780
830,renata,Renata,female,99,30340
831,renate,Renate,female,98,5246
832,renatta,Renatta,female,99,139
833,renatto,Renatto,male,100,67
834,rezso,Rezso,male,100,16
835,richard,Richard,male,99,97659
836,rita,Rita,female,98,40332
837,robert,Robert,male,99,145540
838,roberto,Roberto,male,99,100721
839,rodica,Rodica,female,99,1543
840,rodin,Rodin,male,95,158
841,roland,Roland,male,99,22308
842,romelia,Romelia,female,97,94
843,romeo,Romeo,male,98,10118
844,romica,Romica,male,85,110
845,romina,Romina,female,98,7907
846,romulus,Romulus,male,99,275
847,ronnye,Ronnye,male,96,23
848,rosa,Rosa,female,98,40763
849,rosana,Rosana,female,98,6159
850,roxana,Roxana,female,98,6818
851,roxane,Roxane,female,98,2937
852,rozalia,Rozalia,female,98,460
853,rozeta,Rozeta,female,93,46
854,ruben,Ruben,male,99,34120
855,rudolf,Rudolf,male,99,5465
856,rusalina,Rusalina,female,100,17
857,ruxanda,Ruxanda,female,100,17
858,ruxandra,Ruxandra,female,98,297
859,sabin,Sabin,male,88,813
860,sabina,Sabina,female,98,9982
861,saftica,Saftica,female,100,5
862,salomea,Salomea,female,100,30
863,salomeea,Salomeea,female,100,5
864,samuel,Samuel,male,99,59149
865,sanda,Sanda,female,77,877
866,sandor,Sandor,male,98,1555
867,sandu,Sandu,male,84,744
868,sara,Sara,female,98,153041
869,sarah,Sarah,female,98,127402
870,sarolta,Sarolta,female,98,347
871,scarlett,Scarlett,female,98,1608
872,sebastian,Sebastian,male,99,47850
873,seiran,Seiran,female,54,13
874,semida,Semida,female,83,6
875,serban,Serban,male,79,487
876,sergiu,Sergiu,male,100,1966
877,serioja,Serioja,male,100,16
878,sevastiana,Sevastiana,female,75,4
879,sever,Sever,male,90,302
880,shandijeh,,,,
881,sharon,Sharon,female,96,28436
882,silvana,Silvana,female,98,10014
883,silvia,Silvia,female,98,61342
884,silviu,Silviu,male,98,1604
885,simina,Simina,female,95,205
886,simion,Simion,male,90,312
887,simona,Simona,female,98,30359
888,sintia,Sintia,female,98,400
889,sinziana,Sinziana,female,100,47
890,sixtine,Sixtine,female,97,123
891,smaranda,Smaranda,female,98,56
892,sofia,Sofia,female,98,35763
893,sofica,Sofica,female,79,19
894,solomon,Solomon,male,98,6388
895,soma,Soma,female,65,2601
896,sonia,Sonia,female,98,68267
897,sorin,Sorin,male,99,3875
898,sorina,Sorina,female,99,631
899,speranta,Speranta,female,97,33
